polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 7*x + 1,715,795,435,960,5,0,S5,-6624853952
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 6*x + 1,552,708,360,765,3,0,S5,-4256158975
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 5*x + 1,425,639,315,600,1,0,S5,-2653599792
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 4*x + 1,328,588,300,465,1,0,S5,-1606282343
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 3*x + 1,255,555,315,360,15,0,S5,-949248448
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 2*x + 1,200,540,360,285,5,0,S5,-563445087
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - x + 1,157,543,435,240,1,0,S5,-375693680
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 1,120,564,540,225,3,0,S5,-358659367
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + x + 1,83,603,675,240,1,0,S5,-530820288
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 2*x + 1,40,660,840,285,5,0,S5,-956436863
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 3*x + 1,-15,735,1035,360,15,0,S5,-1745521072
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 4*x + 1,-88,828,1260,465,1,0,S5,-3053805735
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 5*x + 1,-185,939,1515,600,1,0,S5,-5082713792
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 6*x + 1,-312,1068,1800,765,3,0,S5,-8079327583
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 7*x + 1,-475,1215,2115,960,5,0,S5,-12336358128
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 8*x + 1,-680,1380,2460,1185,5,0,S5,-18192114407
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 9*x + 1,-933,1563,2835,1440,3,0,S5,-26030472640
