polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 2*x^4 + 4*x^3 - 5*x^2 + 2*x + 1,33/2,-45,111/2,-37,-21,51/2,-6,1/2,0,D(5) = 5:2,57121
x^5 - 2*x^4 + 5*x^3 - 7*x^2 + 3*x + 1,53/2,-69,81,-53,-57/2,75/2,-17/2,1/2,0,D(5) = 5:2,229441
x^5 - 2*x^4 + 5*x^3 + 8*x^2 + 4*x + 1,-4,21/2,96,111,3/2,-75,-17/2,1/2,0,D(5) = 5:2,505521
x^5 - 2*x^4 + 6*x^3 - 9*x^2 + 4*x + 1,77/2,-99,231/2,-77,-33,99/2,-11,11/2,0,D(5) = 5:2,717409
x^5 - 2*x^4 + 7*x^3 - 3*x^2 + 4*x + 1,47/2,-141/2,3/2,-11,9/2,3/2,-27/2,1/2,0,D(5) = 5:2,1098304
x^5 - 2*x^4 + 7*x^3 + 4*x + 1,16,-105/2,-12,31,27/2,-21,-27/2,1/2,0,D(5) = 5:2,2474329
x^5 - x^4 - 3*x^3 + 3*x^2 + 4*x + 1,17/2,81/2,93/2,-15,-42,-18,17/2,1/2,0,D(5) = 5:2,2209
x^5 - x^4 - x^3 - 3*x^2 + 6*x + 1,87/2,-39/2,75/2,23,-93,24,7/2,1/2,0,D(5) = 5:2,915849
x^5 - x^4 - x^3 + 3*x^2 + 2*x + 1,-7/2,33/2,63/2,-17,-24,-21,7/2,1/2,0,D(5) = 5:2,55225
x^5 - x^4 - x^3 + 3*x^2 + 5*x + 1,35/2,30,36,4,-69,-21,7/2,1/2,0,D(5) = 5:2,274576
x^5 - x^4 + x^3 + x^2 - 2*x + 1,3/2,-21/2,39/2,-37,33,-9,-3/2,1/2,0,D(5) = 5:2,2209
x^5 - x^4 + 3*x^3 + 5*x + 1,25,-45/2,-15/2,10,-123/2,-9/2,-13/2,1/2,0,D(5) = 5:2,505521
x^5 - x^4 + 3*x^3 + 3*x^2 - 3*x + 1,3/2,-36,42,-28,63,-27,-13/2,1/2,0,D(5) = 5:2,274576
x^5 - 3*x^3 - 4*x^2 + 8*x + 1,74,-51/2,60,-1,-213/2,30,15/2,1,0,D(5) = 5:2,1734489
x^5 - x^3 + 2*x^2 - 2*x + 1,-1,3/2,3,-29,63/2,-15,5/2,1,0,D(5) = 5:2,2209
x^5 - x^3 + 4*x^2 + 4*x + 1,6,63/2,30,-33,-117/2,-30,5/2,1/2,0,D(5) = 5:2,16129
x^5 - 3*x^2 + 2*x + 1,23/2,-9,27/2,-25,-30,45/2,0,1/2,1,D(5) = 5:2,55225
x^5 + 5*x^2 - 4*x + 1,7/2,-30,75/2,-25,60,-75/2,0,1/2,1,D(5) = 5:2,95481
x^5 + 4*x^3 + 9*x^2 + 10*x + 1,155/2,105,123/2,47,-126,-135/2,-10,1/2,0,D(5) = 5:2,19936225
x^5 + 7*x^3 + 5*x^2 + 5*x + 1,25/2,-15,-15,45,-3/2,-75/2,-35/2,1/2,0,D(5) = 5:2,1713481
x^5 + x^4 - 10*x^3 - 9*x^2 + 3*x + 1,63/2,69/2,303/2,134,237/2,105/2,26,1/2,0,D(5) = 5:2,18671041
x^5 + x^4 - 9*x^3 - 8*x^2 + 3*x + 1,29,63/2,243/2,98,177/2,93/2,47/2,1/2,0,D(5) = 5:2,9740641
x^5 + x^4 - 8*x^3 - 7*x^2 + 3*x + 1,53/2,57/2,189/2,66,123/2,81/2,21,1/2,0,D(5) = 5:2,4635409
x^5 + x^4 - 7*x^3 - 6*x^2 + 3*x + 1,24,51/2,141/2,38,75/2,69/2,37/2,1/2,0,D(5) = 5:2,1940449
x^5 + x^4 - 6*x^3 - 5*x^2 + 3*x + 1,43/2,45/2,99/2,14,33/2,57/2,16,1/2,0,D(5) = 5:2,667489
x^5 + x^4 - 5*x^3 - 5*x^2 + 10*x + 1,225/2,-75/2,195/2,-45,-105,30,27/2,3/2,0,D(5) = 5:2,826281
