polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 + 9*x^2 - 15*x + 1,2955,-2167,2955,0,197,1,D(4),-30232211
x^4 - 15*x^3 + 9*x^2 + 4,120,308,-540,225,1,0,D(4),-19558400
x^4 - 15*x^3 + 9*x^2 + x + 8,155,329,-533,224,1,0,D(4),-77145232
x^4 - 15*x^3 + 9*x^2 + 10*x - 6,-520,-292,880,125,1,0,D(4),4541400
x^4 - 15*x^3 + 9*x^2 + 12*x - 6,-1176,-628,1524,81,1,0,D(4),18600300
x^4 - 15*x^3 + 9*x^2 + 15*x + 1,-2715,-1267,2715,0,181,1,D(4),31090189
x^4 - 15*x^3 + 10*x^2 - 15*x + 1,2895,-2316,2895,0,579,1,D(4),-28160244
x^4 - 15*x^3 + 10*x^2 - x + 9,81,344,-577,224,1,0,D(4),-87820348
x^4 - 15*x^3 + 10*x^2 + 12*x - 5,-1128,-696,1464,81,3,0,D(4),28091853
x^4 - 15*x^3 + 10*x^2 + 15*x + 1,-2655,-1416,2655,0,177,1,D(4),30201156
x^4 - 15*x^3 + 11*x^2 - 15*x + 1,2835,-2457,2835,0,189,1,D(4),-26112051
x^4 - 15*x^3 + 11*x^2 - 3*x + 10,15,279,-501,216,3,0,D(4),-97217568
x^4 - 15*x^3 + 11*x^2 + 8*x - 4,-40,4,236,161,1,0,D(4),11151552
x^4 - 15*x^3 + 11*x^2 + 14*x - 4,-2008,-1268,2168,29,1,0,D(4),49324932
x^4 - 15*x^3 + 11*x^2 + 15*x + 1,-2595,-1557,2595,0,519,1,D(4),29360349
x^4 - 15*x^3 + 12*x^2 - 15*x + 1,2775,-2590,2775,0,185,1,D(4),-24094400
x^4 - 15*x^3 + 12*x^2 - 6*x - 8,48,-52,-132,189,1,0,D(4),-83366096
x^4 - 15*x^3 + 12*x^2 - 5*x + 11,5,110,-305,200,5,0,D(4),-105403900
x^4 - 15*x^3 + 12*x^2 - 3*x - 15,3,362,-561,216,1,0,D(4),-233800560
x^4 - 15*x^3 + 12*x^2 + 6*x - 3,192,308,-228,189,1,0,D(4),7919829
x^4 - 15*x^3 + 12*x^2 + 9*x - 3,-177,-142,423,144,1,0,D(4),19220544
x^4 - 15*x^3 + 13*x^2 - 15*x + 1,2715,-2715,2715,0,2715,1,D(4),-22113675
x^4 - 15*x^3 + 13*x^2 - 7*x + 12,99,-187,11,176,11,0,D(4),-112444816
x^4 - 15*x^3 + 13*x^2 - x - 14,69,617,-757,224,1,0,D(4),-177779968
x^4 - 15*x^3 + 13*x^2 + 4*x - 2,264,572,-572,209,11,0,D(4),4994588
x^4 - 15*x^3 + 13*x^2 + 5*x + 1,255,485,-445,200,5,0,D(4),-3431875
x^4 - 15*x^3 + 13*x^2 + 9*x + 5,-141,-123,363,144,3,0,D(4),-47831875
x^4 - 15*x^3 + 13*x^2 + 12*x + 2,-984,-852,1284,81,3,0,D(4),206924
x^4 - 15*x^3 + 13*x^2 + 15*x - 9,-2475,-1815,2475,0,165,1,D(4),55752525
x^4 - 15*x^3 + 13*x^2 + 15*x + 1,-2475,-1815,2475,0,165,1,D(4),27796725
x^4 - 15*x^3 + 14*x^2 - 15*x + 1,2655,-2832,2655,0,177,1,D(4),-20175876
x^4 - 15*x^3 + 14*x^2 - 9*x + 13,345,-636,447,144,3,0,D(4),-118404252
x^4 - 15*x^3 + 14*x^2 - 6*x + 1,0,84,-252,189,21,1,D(4),-36603
x^4 - 15*x^3 + 14*x^2 + x - 13,175,784,-833,224,7,0,D(4),-126511728
x^4 - 15*x^3 + 14*x^2 + 2*x - 1,224,772,-796,221,1,0,D(4),2359845
x^4 - 15*x^3 + 14*x^2 + 15*x - 11,-2415,-1932,2415,0,483,1,D(4),50516100
x^4 - 15*x^3 + 14*x^2 + 15*x + 1,-2415,-1932,2415,0,483,1,D(4),27061524
x^4 - 15*x^3 + 15*x^2 - 15*x + 1,2595,-2941,2595,0,173,1,D(4),-18286619
x^4 - 15*x^3 + 15*x^2 - 11*x + 14,791,-1261,1003,104,1,0,D(4),-123344608
x^4 - 15*x^3 + 15*x^2 - 3*x - 2,-33,659,-741,216,1,0,D(4),-3005600
x^4 - 15*x^3 + 15*x^2 + 3*x - 12,273,839,-789,216,1,0,D(4),-79876800
x^4 - 15*x^3 + 15*x^2 + 15*x + 1,-2355,-2041,2355,0,157,1,D(4),26349781
x^4 - 14*x^3 - 15*x^2 - 14*x + 1,3696,3432,3696,0,264,1,D(4),-42863040
x^4 - 14*x^3 - 15*x^2 - 8*x - 11,1104,1620,1800,132,12,0,D(4),-135432432
x^4 - 14*x^3 - 15*x^2 - 8*x - 2,1104,1620,1800,132,12,0,D(4),-623808
x^4 - 14*x^3 - 15*x^2 - 8*x + 8,1104,1620,1800,132,12,0,D(4),-138149888
x^4 - 14*x^3 - 15*x^2 - 2*x - 11,240,888,912,192,24,0,D(4),-197121600
x^4 - 14*x^3 - 15*x^2 - 2*x - 1,240,888,912,192,24,0,D(4),-2840000
x^4 - 14*x^3 - 15*x^2 - 2*x + 1,240,888,912,192,24,0,D(4),74304
