polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 5*x^4 + 15*x^3 + 4*x^2 + 24*x + 1,-25/2,-285/2,15/2,935,-441,63/2,566,1/2,0,A5,15351705604
x^5 - 5*x^4 + 19*x^3 + 8*x^2 + 16*x + 1,-45/2,-405/2,723/2,839,-285,99/2,236,1/2,0,A5,9000316900
x^5 - 5*x^4 + 20*x^3 + 15*x + 1,-25,-150,375,500,-375,-150,225,25,0,A5,6400000000
x^5 - 5*x^4 + 25*x^3 - 12*x^2 + 19*x + 1,-75/2,-195/2,1125/2,40,-843/2,-1059/2,391,1/2,0,A5,18796135801
x^5 - 4*x^4 - 25*x^3 - 9*x^2 + 8*x + 1,157/2,435/2,1527/2,649,963/2,159/2,173/2,1/2,0,A5,3028961296
x^5 - 4*x^4 - 23*x^3 + 7*x^2 + 10*x + 1,147/2,171/2,1371/2,-67,957/2,555/2,165/2,1/2,0,A5,3153047104
x^5 - 4*x^4 - 21*x^3 - x^2 + 8*x + 1,137/2,267/2,1071/2,241,627/2,291/2,133/2,1/2,0,A5,1157632576
x^5 - 4*x^4 - x^3 + 15*x^2 + 14*x + 1,37/2,-213/2,-237/2,337,837/2,645/2,317/2,1/2,0,A5,40576900
x^5 - 4*x^4 + x^3 + 12*x^2 - 2*x + 1,27/2,-96,207/2,-57,279,-87/2,-26,1/2,0,A5,11909401
x^5 - 4*x^4 + 3*x^3 + 8*x^2 + 2*x + 1,17/2,-78,63/2,79,147,3/2,-16,1/2,0,A5,3003289
x^5 - 4*x^4 + 4*x^3 + 3*x^2 + 22*x + 1,6,-93/2,-288,615,-117/2,69,953/2,1/2,0,A5,1909952209
x^5 - 4*x^4 + 4*x^3 + 7*x^2 + 8*x + 1,6,-153/2,-54,255,171/2,54,93/2,3/2,0,A5,21316689
x^5 - 4*x^4 + 5*x^3 + 8*x^2 + 1,7/2,-90,171/2,55,156,-75/2,-20,1/2,0,A5,10259209
x^5 - 4*x^4 + 7*x^3 + 13*x^2 + 20*x + 1,-3/2,-279/2,-297/2,717,207/2,675/2,735/2,3/2,0,A5,3730033476
x^5 - 4*x^4 + 8*x^3 + 17*x^2 - 6*x + 1,-4,-351/2,288,79,1131/2,-213,-13/2,1/2,0,A5,273009529
x^5 - 4*x^4 + 9*x^3 - 3*x^2 - 2*x + 1,-13/2,-63/2,267/2,-135,201/2,-117/2,23/2,1/2,0,A5,195364
x^5 - 4*x^4 + 9*x^3 + 10*x^2 + 24*x + 1,-13/2,-129,-357/2,827,-114,585/2,551,1/2,0,A5,8944430625
x^5 - 4*x^4 + 12*x^3 + 3*x^2 + 22*x + 1,-14,-189/2,-96,663,-645/2,9,953/2,1/2,0,A5,5647672801
x^5 - 4*x^4 + 15*x^3 - 21*x^2 + 22*x + 1,-43/2,135/2,-237/2,-39,453/2,-1611/2,1073/2,1/2,0,A5,101888836
x^5 - 4*x^4 + 15*x^3 - 16*x^2 + 14*x + 1,-43/2,30,63/2,-113,129,-897/2,236,1/2,0,A5,155426089
x^5 - 4*x^4 + 25*x^3 - 14*x^2 + 2*x + 1,-93/2,-45,1647/2,-669,279,-459/2,39,3/2,0,A5,563255289
x^5 - 4*x^4 + 25*x^3 - 11*x^2 + x + 1,-93/2,-135/2,1713/2,-547,204,-204,57/2,1/2,0,A5,565345729
x^5 - 3*x^4 - 23*x^3 - 10*x^2 + 7*x + 1,133/2,357/2,1287/2,582,873/2,135/2,74,1/2,0,A5,1642275625
x^5 - 3*x^4 - 23*x^3 + 4*x^2 + 9*x + 1,133/2,147/2,1353/2,-20,759/2,453/2,71,1/2,0,A5,2009639241
x^5 - 3*x^4 - 20*x^3 - 3*x^2 + 7*x + 1,59,225/2,963/2,242,537/2,237/2,113/2,1/2,0,A5,646939225
x^5 - 3*x^4 - 14*x^3 + 5*x^2 + 23*x + 1,44,51/2,-57/2,318,1131/2,555/2,1033/2,1/2,0,A5,1427101729
x^5 - 3*x^4 - 14*x^3 + 21*x^2 + 17*x + 1,44,-189/2,267/2,-256,2127/2,1281/2,473/2,1/2,0,A5,3128724225
x^5 - 3*x^4 - 5*x^3 + 17*x^2 - 3*x + 1,43/2,-105,159,-258,456,-39,-67/2,1/2,0,A5,2190400
