polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 4*x^4 + 4*x^3 + 5*x^2 + 12*x + 1,263/2,60,-189/2,-321,-186,-27/2,6,1/2,0,D(5),1803649
x^5 + 4*x^4 + 5*x^3 - 6*x^2 + 6*x + 1,51,-183/2,-51,-253,-33/2,75,7/2,1/2,0,D(5),34515625
x^5 + 4*x^4 + 5*x^3 + x^2 + x + 1,-3/2,-36,-66,-43,33/2,45/2,7/2,1/2,0,D(5),20449
x^5 + 4*x^4 + 6*x^3 + 3*x^2 + 2*x + 1,-7/2,-36,-129/2,-45,6,27/2,1,1,0,D(5),14161
x^5 + 4*x^4 + 7*x^3 + 5*x^2 + 3*x + 1,-7/2,-30,-54,-39,-3/2,9/2,-3/2,1/2,0,D(5),6241
x^5 + 4*x^4 + 7*x^3 + 8*x^2 + 4*x + 1,-4,-9/2,-6,-25,-69/2,-18,-3/2,1/2,0,D(5),2209
x^5 + 4*x^4 + 8*x^3 + 5*x^2 - 2*x + 1,-17/2,-75,3/2,111,96,21/2,-4,1/2,0,D(5),505521
x^5 + 4*x^4 + 8*x^3 + 7*x^2 + 4*x + 1,-3/2,-18,-69/2,-25,-6,-9/2,-4,1/2,0,D(5),2209
x^5 + 4*x^4 + 9*x^3 + 9*x^2 + 5*x + 1,5/2,0,-6,-3,-15/2,-27/2,-13/2,1/2,1,D(5),2209
x^5 + 4*x^4 + 9*x^3 + 16*x^2 + 18*x + 1,284,729/2,81,-241,-489/2,-66,-13/2,1/2,0,D(5),34000561
x^5 + 4*x^4 + 10*x^3 + 11*x^2 + 6*x + 1,17/2,24,63/2,27,-6,-45/2,-9,1/2,0,D(5),10609
x^5 + 4*x^4 + 10*x^3 + 19*x^2 + 8*x + 1,33/2,153,723/2,131,-84,-165/2,-9,1/2,0,D(5),797449
x^5 + 4*x^4 + 11*x^3 + 13*x^2 + 7*x + 1,33/2,54,78,65,-3/2,-63/2,-23/2,1/2,0,D(5),57121
