polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 2*x^4 - 3*x^3 + 9*x^2 - 5*x + 1,23/2,-117/2,231/2,-149,129,-45,5/2,1/2,0,D(5),16129
x^5 - 2*x^4 - 3*x^3 + 18*x^2 - 8*x + 1,23/2,-126,375/2,-245,480,-387/2,19,1/2,0,D(5),4986289
x^5 - 2*x^4 - 2*x^3 + 7*x^2 - 4*x + 1,9,-93/2,87,-109,183/2,-27,-3/2,1/2,0,D(5),20449
x^5 - 2*x^4 - x^3 - x^2 + 7*x + 1,13/2,21/2,-213/2,75,42,-3,103/2,1/2,0,D(5),859329
x^5 - 2*x^4 - x^3 + 5*x^2 - 3*x + 1,13/2,-69/2,123/2,-77,63,-15,-7/2,1/2,0,D(5),14161
x^5 - 2*x^4 + 3*x^2 - 2*x + 1,4,-45/2,39,-53,87/2,-9,-7/2,1/2,0,D(5),6241
x^5 - 2*x^4 + x^3 - 2*x^2 + 4*x + 1,3/2,12,-129/2,27,30,-39/2,21,3/2,0,D(5),227529
x^5 - 2*x^4 + x^3 + x^2 - x + 1,3/2,-21/2,39/2,-37,33,-9,-3/2,1/2,0,D(5),2209
x^5 - 2*x^4 + x^3 + 7*x^2 - 5*x + 1,3/2,-111/2,195/2,-81,111,-60,15/2,3/2,0,D(5),227529
x^5 - 2*x^4 + 2*x^3 - x^2 + 1,-1,3/2,3,-29,63/2,-15,5/2,1,0,D(5),2209
x^5 - 2*x^4 + 3*x^3 - 3*x^2 + x + 1,-7/2,27/2,-21/2,-29,39,-27,17/2,1/2,0,D(5),10609
x^5 - 2*x^4 + 3*x^3 - 2*x + 1,-7/2,-9,87/2,-53,39,-45/2,4,1/2,0,D(5),6241
x^5 - 2*x^4 + 4*x^3 - 5*x^2 + 2*x + 1,-6,51/2,-21,-37,111/2,-45,33/2,1/2,0,D(5),57121
x^5 - 2*x^4 + 5*x^3 - 7*x^2 + 3*x + 1,-17/2,75/2,-57/2,-53,81,-69,53/2,1/2,0,D(5),229441
x^5 - 2*x^4 + 5*x^3 + 8*x^2 + 4*x + 1,-17/2,-75,3/2,111,96,21/2,-4,1/2,0,D(5),505521
x^5 - 2*x^4 + 6*x^3 - 9*x^2 + 4*x + 1,-11,99/2,-33,-77,231/2,-99,77/2,11/2,0,D(5),717409
x^5 - 2*x^4 + 7*x^3 - 11*x^2 + 5*x + 1,-27/2,123/2,-69/2,-109,159,-135,105/2,1/2,0,D(5),1868689
x^5 - 2*x^4 + 7*x^3 - 3*x^2 + 4*x + 1,-27/2,3/2,9/2,-11,3/2,-141/2,47/2,1/2,0,D(5),1098304
x^5 - 2*x^4 + 7*x^3 + 4*x + 1,-27/2,-21,27/2,31,-12,-105/2,16,1/2,0,D(5),2474329
x^5 - 2*x^4 + 8*x^3 - 13*x^2 + 6*x + 1,-16,147/2,-33,-149,423/2,-177,137/2,1/2,0,D(5),4255969
x^5 - 2*x^4 + 9*x^3 - 15*x^2 + 7*x + 1,-37/2,171/2,-57/2,-197,273,-225,173/2,1/2,0,D(5),8755681
