polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 + 4*x^3 - 5*x^2 + 18*x + 1,(-206)*x^4 + (-265)*x^3 + (297)*x^2 + (-830)*x^1 + (299),(-206) * (x^4 + 265/206*x^3 - 297/206*x^2 + 415/103*x - 299/206),-206,-265,297,-830,299,1,0,D(5),411156729
x^5 + 4*x^3 + 9*x^2 + 10*x + 1,(-86)*x^4 + (407)*x^3 + (769)*x^2 + (790)*x^1 + (145),(-86) * (x^4 - 407/86*x^3 - 769/86*x^2 - 395/43*x - 145/86),-86,407,769,790,145,1,0,D(5),19936225
x^5 + 5*x^3 + 5*x^2 + 15*x + 1,(-125)*x^4 + (275)*x^3 + (300)*x^2 + (650)*x^1 + (250),(-125) * (x^4 - 11/5*x^3 - 12/5*x^2 - 26/5*x - 2),-125,275,300,650,250,25,0,D(5),102515625
x^5 + 7*x^3 - 16*x^2 + 12*x + 1,(16)*x^4 + (-1369)*x^3 + (2388)*x^2 + (-1763)*x^1 + (64),(16) * (x^4 - 1369/16*x^3 + 597/4*x^2 - 1763/16*x + 4),16,-1369,2388,-1763,64,1,0,D(5),253605625
x^5 + 7*x^3 + 5*x^2 + 5*x + 1,(121)*x^4 + (395)*x^3 + (260)*x^2 + (190)*x^1 + (50),(121) * (x^4 + 395/121*x^3 + 260/121*x^2 + 190/121*x + 50/121),121,395,260,190,50,1,0,D(5),1713481
x^5 + 13*x^3 + 3*x^2 + x + 1,(661)*x^4 + (443)*x^3 + (94)*x^2 + (-38)*x^1 + (16),(661) * (x^4 + 443/661*x^3 + 94/661*x^2 - 38/661*x + 16/661),661,443,94,-38,16,1,0,D(5),34515625
x^5 + 16*x^3 - 7*x^2 + 2*x + 1,(994)*x^4 + (-1369)*x^3 + (473)*x^2 + (-206)*x^1 + (-31),(994) * (x^4 - 1369/994*x^3 + 473/994*x^2 - 103/497*x - 31/994),994,-1369,473,-206,-31,1,0,D(5),167055625
x^5 + x^4 - 25*x^3 - 24*x^2 + 3*x + 1,(2437)*x^4 + (4653)*x^3 + (2667)*x^2 + (-221)*x^1 + (-10),(2437) * (x^4 + 4653/2437*x^3 + 2667/2437*x^2 - 221/2437*x - 10/2437),2437,4653,2667,-221,-10,1,0,D(5),4419723361
x^5 + x^4 - 25*x^3 - 7*x^2 + 10*x + 1,(2434)*x^4 + (-513)*x^3 + (-541)*x^2 + (504)*x^1 + (166),(2434) * (x^4 - 513/2434*x^3 - 541/2434*x^2 + 252/1217*x + 83/1217),2434,-513,-541,504,166,1,0,D(5),6890162049
x^5 + x^4 - 24*x^3 - 23*x^2 + 3*x + 1,(2242)*x^4 + (4273)*x^3 + (2440)*x^2 + (-211)*x^1 + (-9),(2242) * (x^4 + 4273/2242*x^3 + 1220/1121*x^2 - 211/2242*x - 9/2242),2242,4273,2440,-211,-9,1,0,D(5),3471684241
x^5 + x^4 - 23*x^3 - 22*x^2 + 3*x + 1,(2055)*x^4 + (3909)*x^3 + (2223)*x^2 + (-201)*x^1 + (-8),(2055) * (x^4 + 1303/685*x^3 + 741/685*x^2 - 67/685*x - 8/2055),2055,3909,2223,-201,-8,1,0,D(5),2699114209
x^5 + x^4 - 23*x^3 + 19*x^2 + 14*x + 1,(2136)*x^4 + (-7525)*x^3 + (4665)*x^2 + (3810)*x^1 + (384),(2136) * (x^4 - 7525/2136*x^3 + 1555/712*x^2 + 635/356*x + 16/89),2136,-7525,4665,3810,384,1,0,D(5),3333099289
x^5 + x^4 - 22*x^3 - 21*x^2 + 3*x + 1,(1876)*x^4 + (3561)*x^3 + (2016)*x^2 + (-191)*x^1 + (-7),(1876) * (x^4 + 3561/1876*x^3 + 72/67*x^2 - 191/1876*x - 1/268),1876,3561,2016,-191,-7,1,0,D(5),2075075809
x^5 + x^4 - 21*x^3 - 20*x^2 + 3*x + 1,(1705)*x^4 + (3229)*x^3 + (1819)*x^2 + (-181)*x^1 + (-6),(1705) * (x^4 + 3229/1705*x^3 + 1819/1705*x^2 - 181/1705*x - 6/1705),1705,3229,1819,-181,-6,1,0,D(5),1575851809
x^5 + x^4 - 20*x^3 - 19*x^2 + 3*x + 1,(1542)*x^4 + (2913)*x^3 + (1632)*x^2 + (-171)*x^1 + (-5),(1542) * (x^4 + 971/514*x^3 + 272/257*x^2 - 57/514*x - 5/1542),1542,2913,1632,-171,-5,1,0,D(5),1180678321
x^5 + x^4 - 19*x^3 - 18*x^2 + 3*x + 1,(1387)*x^4 + (2613)*x^3 + (1455)*x^2 + (-161)*x^1 + (-4),(1387) * (x^4 + 2613/1387*x^3 + 1455/1387*x^2 - 161/1387*x - 4/1387),1387,2613,1455,-161,-4,1,0,D(5),871489441
x^5 + x^4 - 18*x^3 - 17*x^2 + 3*x + 1,(1240)*x^4 + (2329)*x^3 + (1288)*x^2 + (-151)*x^1 + (-3),(1240) * (x^4 + 2329/1240*x^3 + 161/155*x^2 - 151/1240*x - 3/1240),1240,2329,1288,-151,-3,1,0,D(5),632673409
x^5 + x^4 - 17*x^3 - 16*x^2 + 3*x + 1,(1101)*x^4 + (2061)*x^3 + (1131)*x^2 + (-141)*x^1 + (-2),(1101) * (x^4 + 687/367*x^3 + 377/367*x^2 - 47/367*x - 2/1101),1101,2061,1131,-141,-2,1,0,D(5),450840289
x^5 + x^4 - 16*x^3 - 15*x^2 + 3*x + 1,(970)*x^4 + (1809)*x^3 + (984)*x^2 + (-131)*x^1 + (-1),(970) * (x^4 + 1809/970*x^3 + 492/485*x^2 - 131/970*x - 1/970),970,1809,984,-131,-1,1,0,D(5),314601169
x^5 + x^4 - 14*x^3 - 13*x^2 + 3*x + 1,(732)*x^4 + (1353)*x^3 + (720)*x^2 + (-111)*x^1 + (1),(732) * (x^4 + 451/244*x^3 + 60/61*x^2 - 37/244*x + 1/732),732,1353,720,-111,1,1,0,D(5),142110241
x^5 + x^4 - 13*x^3 - 12*x^2 + 3*x + 1,(625)*x^4 + (1149)*x^3 + (603)*x^2 + (-101)*x^1 + (2),(625) * (x^4 + 1149/625*x^3 + 603/625*x^2 - 101/625*x + 2/625),625,1149,603,-101,2,1,0,D(5),91259809
x^5 + x^4 - 12*x^3 - 11*x^2 + 3*x + 1,(526)*x^4 + (961)*x^3 + (496)*x^2 + (-91)*x^1 + (3),(526) * (x^4 + 961/526*x^3 + 248/263*x^2 - 91/526*x + 3/526),526,961,496,-91,3,1,0,D(5),56445169
x^5 + x^4 - 11*x^3 - 10*x^2 + 3*x + 1,(435)*x^4 + (789)*x^3 + (399)*x^2 + (-81)*x^1 + (4),(435) * (x^4 + 263/145*x^3 + 133/145*x^2 - 27/145*x + 4/435),435,789,399,-81,4,1,0,D(5),33373729
x^5 + x^4 - 10*x^3 - 9*x^2 + 3*x + 1,(352)*x^4 + (633)*x^3 + (312)*x^2 + (-71)*x^1 + (5),(352) * (x^4 + 633/352*x^3 + 39/44*x^2 - 71/352*x + 5/352),352,633,312,-71,5,1,0,D(5),18671041
x^5 + x^4 - 9*x^3 - 8*x^2 + 3*x + 1,(277)*x^4 + (493)*x^3 + (235)*x^2 + (-61)*x^1 + (6),(277) * (x^4 + 493/277*x^3 + 235/277*x^2 - 61/277*x + 6/277),277,493,235,-61,6,1,0,D(5),9740641
x^5 + x^4 - 8*x^3 - 7*x^2 + 3*x + 1,(210)*x^4 + (369)*x^3 + (168)*x^2 + (-51)*x^1 + (7),(210) * (x^4 + 123/70*x^3 + 4/5*x^2 - 17/70*x + 1/30),210,369,168,-51,7,1,0,D(5),4635409
x^5 + x^4 - 7*x^3 - 6*x^2 + 3*x + 1,(151)*x^4 + (261)*x^3 + (111)*x^2 + (-41)*x^1 + (8),(151) * (x^4 + 261/151*x^3 + 111/151*x^2 - 41/151*x + 8/151),151,261,111,-41,8,1,0,D(5),1940449
x^5 + x^4 - 6*x^3 - 5*x^2 + 3*x + 1,(100)*x^4 + (169)*x^3 + (64)*x^2 + (-31)*x^1 + (9),(100) * (x^4 + 169/100*x^3 + 16/25*x^2 - 31/100*x + 9/100),100,169,64,-31,9,1,0,D(5),667489
x^5 + x^4 - 5*x^3 - 5*x^2 + 10*x + 1,(-54)*x^4 + (105)*x^3 + (45)*x^2 + (-216)*x^1 + (96),(-54) * (x^4 - 35/18*x^3 - 5/6*x^2 + 4*x - 16/9),-54,105,45,-216,96,3,0,D(5),826281
x^5 + x^4 - 5*x^3 - 4*x^2 + 3*x + 1,(57)*x^4 + (93)*x^3 + (27)*x^2 + (-21)*x^1 + (10),(57) * (x^4 + 31/19*x^3 + 9/19*x^2 - 7/19*x + 10/57),57,93,27,-21,10,1,0,D(5),160801
x^5 + x^4 - 3*x^3 - 2*x^2 + 3*x + 1,(-5)*x^4 + (-11)*x^3 + (-17)*x^2 + (-1)*x^1 + (12),(-5) * (x^4 + 11/5*x^3 + 17/5*x^2 + 1/5*x - 12/5),-5,-11,-17,-1,12,1,0,D(5),2209
x^5 + x^4 - 3*x^3 + 3*x^2 - 2*x + 1,(100)*x^4 + (-161)*x^3 + (113)*x^2 + (-66)*x^1 + (32),(100) * (x^4 - 161/100*x^3 + 113/100*x^2 - 33/50*x + 8/25),100,-161,113,-66,32,1,0,D(5),10609
