polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 + 11*x^3 + 5*x^2 + x + 1,(-37/2)*x^6 + (12)*x^5 + (144)*x^4 + (64)*x^3 + (-24)*x^2 + (-75)*x^1 + (-23/2),(-37/2) * (x^6 - 24/37*x^5 - 288/37*x^4 - 128/37*x^3 + 48/37*x^2 + 150/37*x + 23/37),-37/2,12,144,64,-24,-75,-23/2,1/2,0,A5,5740816
x^5 + 3*x^4 + 16*x^3 - 13*x^2 + 9*x + 1,(-31)*x^6 + (339/2)*x^5 + (615/2)*x^4 + (-630)*x^3 + (-15/2)*x^2 + (-591/2)*x^1 + (227/2),(-31) * (x^6 - 339/62*x^5 - 615/62*x^4 + 630/31*x^3 + 15/62*x^2 + 591/62*x - 227/62),-31,339/2,615/2,-630,-15/2,-591/2,227/2,1/2,0,A5,2081640625
x^5 + 3*x^4 + 19*x^3 - 15*x^2 + x + 1,(-77/2)*x^6 + (198)*x^5 + (594)*x^4 + (-616)*x^3 + (264)*x^2 + (-165)*x^1 + (77/2),(-77/2) * (x^6 - 36/7*x^5 - 108/7*x^4 + 16*x^3 - 48/7*x^2 + 30/7*x - 1),-77/2,198,594,-616,264,-165,77/2,11/2,0,A5,146410000
x^5 + 3*x^4 + 19*x^3 - 4*x^2 + 12*x + 1,(-77/2)*x^6 + (231/2)*x^5 + (759/2)*x^4 + (-429)*x^3 + (-363)*x^2 + (-429/2)*x^1 + (154),(-77/2) * (x^6 - 3*x^5 - 69/7*x^4 + 78/7*x^3 + 66/7*x^2 + 39/7*x - 4),-77/2,231/2,759/2,-429,-363,-429/2,154,11/2,0,A5,4112656900
x^5 + 3*x^4 + 23*x^3 + 23*x^2 - 6*x + 1,(-97/2)*x^6 + (-69)*x^5 + (780)*x^4 + (1159)*x^3 + (1911/2)*x^2 + (-759/2)*x^1 + (-43/2),(-97/2) * (x^6 + 138/97*x^5 - 1560/97*x^4 - 2318/97*x^3 - 1911/97*x^2 + 759/97*x + 43/97),-97/2,-69,780,1159,1911/2,-759/2,-43/2,1/2,0,A5,2797669449
x^5 + 4*x^4 - 23*x^3 - 17*x^2 + 2*x + 1,(147/2)*x^6 + (-21/2)*x^5 + (1731/2)*x^4 + (701)*x^3 + (885/2)*x^2 + (243/2)*x^1 + (93/2),(147/2) * (x^6 - 1/7*x^5 + 577/49*x^4 + 1402/147*x^3 + 295/49*x^2 + 81/49*x + 31/49),147/2,-21/2,1731/2,701,885/2,243/2,93/2,1/2,0,A5,1577042944
x^5 + 4*x^4 - 23*x^3 - 3*x^2 + 19*x + 1,(147/2)*x^6 + (-231/2)*x^5 + (1053/2)*x^4 + (-419)*x^3 + (609)*x^2 + (87)*x^1 + (737/2),(147/2) * (x^6 - 11/7*x^5 + 351/49*x^4 - 838/147*x^3 + 58/7*x^2 + 58/49*x + 737/147),147/2,-231/2,1053/2,-419,609,87,737/2,1/2,0,A5,24101010025
x^5 + 4*x^4 - 23*x^3 + 25*x^2 - 2*x + 1,(147/2)*x^6 + (-651/2)*x^5 + (1347/2)*x^4 + (-1119)*x^3 + (1617/2)*x^2 + (195/2)*x^1 + (-117/2),(147/2) * (x^6 - 31/7*x^5 + 449/49*x^4 - 746/49*x^3 + 11*x^2 + 65/49*x - 39/49),147/2,-651/2,1347/2,-1119,1617/2,195/2,-117/2,3/2,0,A5,254913156
x^5 + 4*x^4 - 14*x^3 - 17*x^2 + 10*x + 1,(51)*x^6 + (87/2)*x^5 + (246)*x^4 + (171)*x^3 + (1167/2)*x^2 + (-150)*x^1 + (285/2),(51) * (x^6 + 29/34*x^5 + 82/17*x^4 + 57/17*x^3 + 389/34*x^2 - 50/17*x + 95/34),51,87/2,246,171,1167/2,-150,285/2,3/2,0,A5,2959904025
x^5 + 4*x^4 - 14*x^3 - 7*x^2 + 18*x + 1,(51)*x^6 + (-63/2)*x^5 + (66)*x^4 + (-333)*x^3 + (783/2)*x^2 + (-84)*x^1 + (683/2),(51) * (x^6 - 21/34*x^5 + 22/17*x^4 - 111/17*x^3 + 261/34*x^2 - 28/17*x + 683/102),51,-63/2,66,-333,783/2,-84,683/2,1/2,0,A5,1803615961
