polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 24*x^3 - 25*x^2 + 3*x + 1,(16200)*x^3 + (17028)*x^2 + (-1836)*x^1 + (-567),(16200) * (x^3 + 473/450*x^2 - 17/150*x - 7/200),16200,17028,-1836,-567,9,0,A4,58936329
x^4 - 21*x^3 - 22*x^2 - 3*x + 1,(11133)*x^3 + (11496)*x^2 + (1755)*x^1 + (-432),(11133) * (x^3 + 3832/3711*x^2 + 195/1237*x - 48/1237),11133,11496,1755,-432,3,0,A4,3392964
x^4 - 21*x^3 + 11*x^2 + 16*x + 1,(8209)*x^3 + (-3711)*x^2 + (-6184)*x^1 + (-185),(8209) * (x^3 - 3711/8209*x^2 - 6184/8209*x - 185/8209),8209,-3711,-6184,-185,1,0,A4,112254025
x^4 - 20*x^3 + 15*x^2 + 9*x + 1,(6728)*x^3 + (-4756)*x^2 + (-2900)*x^1 + (-319),(6728) * (x^3 - 41/58*x^2 - 25/58*x - 11/232),6728,-4756,-2900,-319,29,0,A4,1151329
x^4 - 20*x^3 + 20*x^2 + 12*x + 1,(6304)*x^3 + (-5936)*x^2 + (-3680)*x^1 + (-256),(6304) * (x^3 - 371/394*x^2 - 115/197*x - 8/197),6304,-5936,-3680,-256,16,0,A4,20502784
x^4 - 19*x^3 - 9*x^2 + 8*x + 1,(7479)*x^3 + (3861)*x^2 + (-3024)*x^1 + (-297),(7479) * (x^3 + 143/277*x^2 - 112/277*x - 11/277),7479,3861,-3024,-297,27,0,A4,24413481
x^4 - 18*x^3 - 7*x^2 + 9*x + 1,(6264)*x^3 + (2772)*x^2 + (-3024)*x^1 + (-243),(6264) * (x^3 + 77/174*x^2 - 14/29*x - 9/232),6264,2772,-3024,-243,9,0,A4,24235929
x^4 - 18*x^3 + 21*x^2 + 14*x + 1,(4208)*x^3 + (-4552)*x^2 + (-3216)*x^1 + (-128),(4208) * (x^3 - 569/526*x^2 - 201/263*x - 8/263),4208,-4552,-3216,-128,8,0,A4,32535616
x^4 - 17*x^3 - 15*x^2 + 1,(5933)*x^3 + (5219)*x^2 + (136)*x^1 + (-289),(5933) * (x^3 + 307/349*x^2 + 8/349*x - 17/349),5933,5219,136,-289,17,0,A4,1803649
x^4 - 16*x^3 + 11*x^2 + 21*x + 1,(3224)*x^3 + (-1676)*x^2 + (-4324)*x^1 + (185),(3224) * (x^3 - 419/806*x^2 - 1081/806*x + 185/3224),3224,-1676,-4324,185,1,0,A4,112254025
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,(3951)*x^3 + (2724)*x^2 + (-675)*x^1 + (-216),(3951) * (x^3 + 908/1317*x^2 - 75/439*x - 24/439),3951,2724,-675,-216,3,0,A4,2196324
x^4 - 14*x^3 + 21*x^2 + 18*x + 1,(1424)*x^3 + (-1864)*x^2 + (-1904)*x^1 + (128),(1424) * (x^3 - 233/178*x^2 - 119/89*x + 8/89),1424,-1864,-1904,128,8,0,A4,32535616
