polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 17*x^3 - 6*x^2 + 17*x + 1,(5185)*x^3 + (2440)*x^2 + (-5185)*x^1 + (0),(5185) * x * (x^2 + 8/17*x - 1),5185,2440,-5185,0,305,1,C(4),113490500
x^4 - 16*x^3 - 19*x^2 + 4*x + 1,(5280)*x^3 + (6420)*x^2 + (-1200)*x^1 + (-240),(5280) * (x + 1/8) * (x^2 + 12/11*x - 4/11),5280,6420,-1200,-240,60,0,C(4),17298000
x^4 - 16*x^3 - 9*x^2 + 4*x + 1,(4640)*x^3 + (2740)*x^2 + (-1040)*x^1 + (-240),(4640) * (x - 3/8) * (x^2 + 28/29*x + 4/29),4640,2740,-1040,-240,20,0,C(4),3362000
x^4 - 16*x^3 - 6*x^2 + 16*x + 1,(4352)*x^3 + (2176)*x^2 + (-4352)*x^1 + (0),(4352) * x * (x^2 + 1/2*x - 1),4352,2176,-4352,0,2176,1,C(4),80494592
x^4 - 15*x^3 - 6*x^2 + 15*x + 1,(3615)*x^3 + (1928)*x^2 + (-3615)*x^1 + (0),(3615) * x * (x^2 + 8/15*x - 1),3615,1928,-3615,0,241,1,C(4),55990084
x^4 - 14*x^3 - 14*x^2 + 6*x + 1,(3480)*x^3 + (3680)*x^2 + (-1400)*x^1 + (-160),(3480) * (x + 4/3) * (x^2 - 8/29*x - 1/29),3480,3680,-1400,-160,40,0,C(4),11552000
x^4 - 14*x^3 - 6*x^2 + 14*x + 1,(2968)*x^3 + (1696)*x^2 + (-2968)*x^1 + (0),(2968) * x * (x^2 + 4/7*x - 1),2968,1696,-2968,0,424,1,C(4),38112512
x^4 - 14*x^3 + x^2 + 6*x + 1,(2640)*x^3 + (-40)*x^2 + (-1040)*x^1 + (-160),(2640) * (x + 1/6) * (x^2 - 2/11*x - 4/11),2640,-40,-1040,-160,40,0,C(4),968000
x^4 - 13*x^3 - 16*x^2 - 2*x + 1,(3045)*x^3 + (3660)*x^2 + (570)*x^1 + (-165),(3045) * (x - 1/7) * (x^2 + 39/29*x + 11/29),3045,3660,570,-165,15,0,C(4),946125
x^4 - 13*x^3 - 6*x^2 + 13*x + 1,(2405)*x^3 + (1480)*x^2 + (-2405)*x^1 + (0),(2405) * x * (x^2 + 8/13*x - 1),2405,1480,-2405,0,185,1,C(4),25326500
x^4 - 13*x^3 + 4*x^2 + 8*x + 1,(1925)*x^3 + (-420)*x^2 + (-1120)*x^1 + (-105),(1925) * (x + 3/5) * (x^2 - 9/11*x - 1/11),1925,-420,-1120,-105,35,0,C(4),2211125
x^4 - 12*x^3 - 6*x^2 + 12*x + 1,(1920)*x^3 + (1280)*x^2 + (-1920)*x^1 + (0),(1920) * x * (x^2 + 2/3*x - 1),1920,1280,-1920,0,640,1,C(4),16384000
x^4 - 12*x^3 - 2*x^2 + 4*x + 1,(1792)*x^3 + (384)*x^2 + (-512)*x^1 + (-128),(1792) * (x + 1/2) * (x^2 - 2/7*x - 1/7),1792,384,-512,-128,128,0,C(4),131072
x^4 - 12*x^3 + 14*x^2 + 12*x + 1,(960)*x^3 + (-960)*x^2 + (-960)*x^1 + (0),(960) * x * (x^2 - x - 1),960,-960,-960,0,960,1,C(4),4608000
x^4 - 12*x^3 + 19*x^2 - 8*x + 1,(880)*x^3 + (-1500)*x^2 + (640)*x^1 + (-80),(880) * (x - 1/4) * (x^2 - 16/11*x + 4/11),880,-1500,640,-80,20,0,C(4),2000
x^4 - 11*x^3 - 19*x^2 - x + 1,(2175)*x^3 + (3705)*x^2 + (285)*x^1 + (-120),(2175) * (x + 8/5) * (x^2 + 3/29*x - 1/29),2175,3705,285,-120,15,0,C(4),3916125
