polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 4*x^3 + 12*x^2 + 16*x + 1,-3360,-2640,-960,-240,240,0,D(4),-345600
x^4 - 2*x^3 - 22*x^2 + 13*x + 1,-3325,5690,410,-165,5,0,D(4),12921525
x^4 - 8*x^3 + 12*x^2 + 16*x + 1,-3264,-2256,1536,-192,48,0,D(4),76032
x^4 + 2*x^2 + 15*x + 1,-3255,-450,-120,-225,15,0,D(4),-1309275
x^4 - 11*x^3 + 12*x^2 + 16*x + 1,-3240,-2160,2160,-135,135,0,D(4),10005525
x^4 - 22*x^3 - 12*x^2 + 14*x + 1,-3240,3528,5256,288,72,0,D(4),175286592
x^4 - 2*x^3 - 7*x^2 + 14*x + 1,-3120,1608,336,-192,24,0,D(4),9792
x^4 - 6*x^3 + 4*x^2 + 15*x + 1,-3087,-672,1134,-189,21,0,D(4),122157
x^4 + 2*x^3 + 17*x^2 + 16*x + 1,-3024,-3276,-504,-252,252,0,D(4),-2984688
x^4 - 9*x^3 + 16*x^2 + 16*x + 1,-3000,-2800,1600,-175,25,0,D(4),453125
x^4 - 2*x^3 - 12*x^2 + 13*x + 1,-2805,2640,330,-165,165,0,D(4),1878525
x^4 - 7*x^3 - 12*x^2 + 13*x + 1,-2765,2770,1415,-120,5,0,D(4),10115600
x^4 + 9*x^3 + 22*x^2 + 16*x + 1,-2760,-4000,-1640,-175,5,0,D(4),35525
x^4 - 7*x^3 + 20*x^2 + 16*x + 1,-2760,-3312,1104,-207,69,0,D(4),-6336891
x^4 + 4*x^3 - 20*x^2 + 12*x + 1,-2720,4368,-992,-128,16,0,D(4),2756864
x^4 - x^3 - 10*x^2 + 13*x + 1,-2709,2100,105,-168,21,0,D(4),340452
x^4 + 10*x^3 + 23*x^2 + 16*x + 1,-2704,-4108,-1768,-156,52,0,D(4),8112
x^4 + 6*x^3 + 14*x^2 + 15*x + 1,-2583,-2562,-1134,-189,21,0,D(4),-36603
x^4 - 5*x^3 + 13*x^2 + 15*x + 1,-2555,-2115,745,-200,5,0,D(4),-3431875
x^4 - 17*x^3 - 20*x^2 + 12*x + 1,-2552,4872,3712,145,29,0,D(4),101025125
x^4 + 3*x^3 - 16*x^2 + 12*x + 1,-2520,3240,-720,-135,45,0,D(4),415125
x^4 + 4*x^3 + 5*x^2 + 14*x + 1,-2496,-1008,-816,-180,12,0,D(4),-687600
x^4 - 16*x^2 + 12*x + 1,-2496,3312,-96,-144,48,0,D(4),2483712
x^4 + 2*x^3 + 5*x^2 + 14*x + 1,-2480,-952,-464,-192,8,0,D(4),-616896
x^4 - 2*x^3 + 5*x^2 + 14*x + 1,-2448,-840,240,-192,24,0,D(4),-1326528
x^4 + 2*x^3 + 16*x^2 + 15*x + 1,-2431,-2652,-442,-221,221,0,D(4),-2100163
x^4 - 17*x^3 - 7*x^2 + 13*x + 1,-2425,1805,3245,120,5,0,D(4),56110725
x^4 + 6*x^3 + 7*x^2 + 14*x + 1,-2400,-1360,-1120,-160,80,0,D(4),-1081600
x^4 + 4*x^3 - 22*x^2 + 11*x + 1,-2331,4494,-924,-105,21,0,D(4),5170725
x^4 - x^3 + 8*x^2 + 14*x + 1,-2288,-1300,52,-195,13,0,D(4),-1456611
x^4 - 3*x^3 - 12*x^2 + 12*x + 1,-2280,2360,480,-135,5,0,D(4),2521525
x^4 - 14*x^3 - 24*x^2 + 11*x + 1,-2275,5500,2950,75,25,0,D(4),76578125
x^4 - 2*x^3 - 11*x^2 + 12*x + 1,-2240,2100,280,-140,140,0,D(4),1274000
x^4 - 24*x^3 + 16*x^2 + 15*x + 1,-2223,-1872,3744,351,117,0,D(4),122831397
x^4 + x^3 + 13*x + 1,-2205,-42,-273,-168,21,0,D(4),-783216
x^4 + 4*x^3 + 11*x^2 + 14*x + 1,-2160,-1800,-720,-180,180,0,D(4),-162000
x^4 - 20*x^3 - 22*x^2 + 11*x + 1,-2139,5022,4092,279,93,0,D(4),139188357
x^4 - 8*x^2 + 12*x + 1,-2112,1392,-96,-144,48,0,D(4),-373248
x^4 - 4*x^3 - 8*x^2 + 12*x + 1,-2080,1488,608,-128,16,0,D(4),1571072
x^4 - 23*x^3 - x^2 + 13*x + 1,-2065,755,3875,360,5,0,D(4),101890125
x^4 - 10*x^3 + 11*x^2 + 14*x + 1,-2048,-1408,1408,-96,32,0,D(4),4211712
x^4 + 3*x^3 - 6*x^2 + 12*x + 1,-2040,920,-600,-135,5,0,D(4),-1398875
x^4 - 10*x^3 + 22*x^2 + 15*x + 1,-1975,-2730,1250,-125,5,0,D(4),23525
x^4 + 2*x^3 + 15*x^2 + 14*x + 1,-1920,-2112,-384,-192,192,0,D(4),-1437696
x^4 - 23*x^2 + 10*x + 1,-1920,4400,-80,-100,20,0,D(4),8675600
x^4 - 4*x^3 - 12*x^2 + 11*x + 1,-1827,2100,588,-105,21,0,D(4),3046869
x^4 - 3*x^3 - 2*x^2 + 12*x + 1,-1800,360,360,-135,45,0,D(4),-200475
x^4 + 4*x^3 - 19*x^2 + 10*x + 1,-1792,3248,-784,-84,28,0,D(4),2189712
x^4 - 2*x^3 - 10*x^2 + 11*x + 1,-1755,1638,234,-117,117,0,D(4),835029
x^4 - 22*x^3 + 15*x^2 + 14*x + 1,-1728,-1440,2880,288,288,0,D(4),72410112
x^4 - 4*x^3 - 19*x^2 + 10*x + 1,-1728,3408,624,-84,12,0,D(4),8201232
x^4 - 7*x^3 + 8*x^2 + 13*x + 1,-1725,-930,855,-120,15,0,D(4),147600
x^4 - 17*x^2 + 10*x + 1,-1680,2840,-80,-100,20,0,D(4),2750000
x^4 - x^3 - 8*x^2 + 11*x + 1,-1675,1230,65,-120,5,0,D(4),35600
x^4 - 10*x^3 + 18*x^2 + 14*x + 1,-1656,-1968,1128,-96,24,0,D(4),1631232
x^4 + 2*x^3 - 16*x^2 + 10*x + 1,-1656,2568,-408,-96,24,0,D(4),1265472
x^4 - 22*x^3 - 19*x^2 + 10*x + 1,-1584,3768,3792,384,24,0,D(4),119979072
x^4 + 6*x^3 + 22*x^2 + 14*x + 1,-1560,-2560,-760,-160,40,0,D(4),-1081600
x^4 + 10*x^3 + 23*x^2 + 14*x + 1,-1536,-2688,-1152,-96,96,0,D(4),156672
x^4 + 2*x^3 - 13*x^2 + 10*x + 1,-1536,1920,-384,-96,96,0,D(4),156672
x^4 + 7*x^3 + 14*x^2 + 13*x + 1,-1525,-1780,-895,-120,5,0,D(4),-85500
x^4 + 2*x^3 + 14*x^2 + 13*x + 1,-1485,-1650,-330,-165,165,0,D(4),-952875
x^4 - 4*x^3 - 4*x^2 + 11*x + 1,-1475,620,460,-105,5,0,D(4),415125
x^4 - 23*x^3 - 16*x^2 + 10*x + 1,-1456,3068,3692,429,13,0,D(4),110359197
x^4 - 6*x^3 + 5*x^2 + 12*x + 1,-1440,-492,648,-108,12,0,D(4),34704
x^4 + 16*x^3 - 25*x^2 + 8*x + 1,-1440,3828,-2688,192,12,0,D(4),34704
x^4 + 6*x^3 - 18*x^2 + 9*x + 1,-1425,2630,-990,-45,5,0,D(4),692725
x^4 + 8*x^3 + 25*x^2 + 14*x + 1,-1408,-2640,-880,-132,44,0,D(4),-664048
x^4 - 19*x^3 + 22*x^2 + 14*x + 1,-1360,-1860,1940,165,5,0,D(4),37955525
x^4 - 2*x^3 - 9*x^2 + 10*x + 1,-1344,1248,192,-96,96,0,D(4),525312
x^4 + 8*x^3 + 18*x^2 + 13*x + 1,-1325,-1970,-880,-105,5,0,D(4),725
x^4 - 20*x^3 + 14*x^2 + 13*x + 1,-1309,-1078,2156,231,77,0,D(4),40394277
x^4 + 4*x^3 + 10*x^2 + 12*x + 1,-1280,-1152,-512,-128,128,0,D(4),-65536
x^4 + 4*x^3 + 2*x^2 + 11*x + 1,-1275,-330,-540,-105,15,0,D(4),-517275
x^4 - x^3 - 14*x^2 + 9*x + 1,-1225,1920,65,-80,5,0,D(4),1494500
x^4 - 2*x^3 - 6*x^2 + 10*x + 1,-1224,768,168,-96,24,0,D(4),76032
x^4 - 18*x^3 + 25*x^2 + 14*x + 1,-1200,-1912,1616,128,8,0,D(4),28672064
x^4 - 8*x^3 + 18*x^2 + 13*x + 1,-1197,-1554,672,-105,21,0,D(4),-1271403
x^4 - 9*x^3 + 10*x^2 + 12*x + 1,-1176,-840,840,-63,21,0,D(4),1480437
x^4 + 6*x^3 + 13*x^2 + 12*x + 1,-1152,-1356,-648,-108,12,0,D(4),-6768
x^4 + 2*x^3 + 13*x^2 + 12*x + 1,-1120,-1260,-280,-140,140,0,D(4),-607600
x^4 - 17*x^3 - 22*x^2 + 8*x + 1,-1080,3600,2520,225,45,0,D(4),58443525
x^4 + x^3 + 6*x^2 + 11*x + 1,-1075,-620,-185,-120,5,0,D(4),-269500
x^4 - 8*x^3 + 13*x^2 + 12*x + 1,-1040,-1020,640,-80,20,0,D(4),11600
x^4 - 5*x^3 - 2*x^2 + 10*x + 1,-1040,300,460,-75,5,0,D(4),426725
x^4 + x^3 - 8*x^2 + 9*x + 1,-1025,870,-185,-80,5,0,D(4),-198400
x^4 - 2*x^3 - x^2 + 10*x + 1,-1024,128,128,-96,32,0,D(4),-211968
