polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 15*x^2 + 1,(0)*x^3 + (884)*x^2 + (0)*x^1 + (0),(884) * x^2,0,884,0,0,884,3,E(4),781456
x^4 + 16*x^2 + 1,(0)*x^3 + (1008)*x^2 + (0)*x^1 + (0),(1008) * x^2,0,1008,0,0,1008,3,E(4),1016064
x^4 + 17*x^2 + 1,(0)*x^3 + (1140)*x^2 + (0)*x^1 + (0),(1140) * x^2,0,1140,0,0,1140,3,E(4),1299600
x^4 + 18*x^2 + 1,(0)*x^3 + (1280)*x^2 + (0)*x^1 + (0),(1280) * x^2,0,1280,0,0,1280,3,E(4),1638400
x^4 + 19*x^2 + 1,(0)*x^3 + (1428)*x^2 + (0)*x^1 + (0),(1428) * x^2,0,1428,0,0,1428,3,E(4),2039184
x^4 + 20*x^2 + 1,(0)*x^3 + (1584)*x^2 + (0)*x^1 + (0),(1584) * x^2,0,1584,0,0,1584,3,E(4),2509056
x^4 + 21*x^2 + 1,(0)*x^3 + (1748)*x^2 + (0)*x^1 + (0),(1748) * x^2,0,1748,0,0,1748,3,E(4),3055504
x^4 + 22*x^2 + 1,(0)*x^3 + (1920)*x^2 + (0)*x^1 + (0),(1920) * x^2,0,1920,0,0,1920,3,E(4),3686400
x^4 + 23*x^2 + 1,(0)*x^3 + (2100)*x^2 + (0)*x^1 + (0),(2100) * x^2,0,2100,0,0,2100,3,E(4),4410000
x^4 + 24*x^2 + 1,(0)*x^3 + (2288)*x^2 + (0)*x^1 + (0),(2288) * x^2,0,2288,0,0,2288,3,E(4),5234944
x^4 + 25*x^2 + 1,(0)*x^3 + (2484)*x^2 + (0)*x^1 + (0),(2484) * x^2,0,2484,0,0,2484,3,E(4),6170256
x^4 + x^3 + 2*x^2 - x + 1,(15)*x^3 + (0)*x^2 + (-15)*x^1 + (0),(15) * (x - 1) * x * (x + 1),15,0,-15,0,15,2,E(4),900
x^4 + 2*x^3 - 22*x^2 + 22*x + 1,(-360)*x^3 + (1920)*x^2 + (-2040)*x^1 + (480),(-360) * (x - 4) * (x - 1) * (x - 1/3),-360,1920,-2040,480,120,0,E(4),6969600
x^4 + 2*x^3 - 15*x^2 - 16*x + 1,(0)*x^3 + (1008)*x^2 + (1008)*x^1 + (252),(1008) * (x + 1/2)^2,0,1008,1008,252,252,1,E(4),5143824
x^4 + 2*x^3 - 7*x^2 - 8*x + 1,(0)*x^3 + (240)*x^2 + (240)*x^1 + (60),(240) * (x + 1/2)^2,0,240,240,60,60,1,E(4),176400
x^4 + 2*x^3 - 7*x^2 + 2*x + 1,(-80)*x^3 + (200)*x^2 + (-80)*x^1 + (0),(-80) * (x - 2) * (x - 1/2) * x,-80,200,-80,0,40,1,E(4),14400
x^4 + 2*x^3 + 2*x^2 - 2*x + 1,(24)*x^3 + (0)*x^2 + (-24)*x^1 + (0),(24) * (x - 1) * x * (x + 1),24,0,-24,0,24,2,E(4),2304
x^4 + 2*x^3 + 5*x^2 - 2*x + 1,(48)*x^3 + (72)*x^2 + (-48)*x^1 + (0),(48) * (x - 1/2) * x * (x + 2),48,72,-48,0,24,1,E(4),14400
x^4 + 2*x^3 + 5*x^2 + 4*x + 1,(0)*x^3 + (48)*x^2 + (48)*x^1 + (12),(48) * (x + 1/2)^2,0,48,48,12,12,1,E(4),144
x^4 + 3*x^3 - 12*x^2 + 3*x + 1,(-195)*x^3 + (650)*x^2 + (-195)*x^1 + (0),(-195) * (x - 3) * (x - 1/3) * x,-195,650,-195,0,65,1,E(4),270400
x^4 + 3*x^3 + 2*x^2 - 3*x + 1,(21)*x^3 + (0)*x^2 + (-21)*x^1 + (0),(21) * (x - 1) * x * (x + 1),21,0,-21,0,21,2,E(4),1764
x^4 + 3*x^3 + 8*x^2 + 3*x + 1,(45)*x^3 + (150)*x^2 + (45)*x^1 + (0),(45) * x * (x + 1/3) * (x + 3),45,150,45,0,15,1,E(4),14400
x^4 + 3*x^3 + 10*x^2 - 3*x + 1,(117)*x^3 + (312)*x^2 + (-117)*x^1 + (0),(117) * (x - 1/3) * x * (x + 3),117,312,-117,0,39,1,E(4),152100
x^4 + 4*x^3 - 13*x^2 - 4*x + 1,(-240)*x^3 + (900)*x^2 + (240)*x^1 + (0),(-240) * (x - 4) * x * (x + 1/4),-240,900,240,0,60,1,E(4),1040400
x^4 + 4*x^3 - 12*x^2 + 4*x + 1,(-288)*x^3 + (720)*x^2 + (-288)*x^1 + (0),(-288) * (x - 2) * (x - 1/2) * x,-288,720,-288,0,144,1,E(4),186624
x^4 + 4*x^3 - 4*x^2 - 4*x + 1,(-96)*x^3 + (144)*x^2 + (96)*x^1 + (0),(-96) * (x - 2) * x * (x + 1/2),-96,144,96,0,48,1,E(4),57600
